1,SpaceX,United States of America,Hawthorne California
2,Swarm Technologies,United States of America,Palo Alto California
3,OneWeb Satellites,United Kingdom,Unknown
4,Hera Systems,United States of America,7013 Realm Dr suite b San Jose California
5,Aalto University,Finland,Otaniemi Espoo
6,University of Aalborg,Denmark,Aalborg Esbjerg
7,Asia Broadcast Satellite Ltd.,Multinational,Hamilton Bermuda
8,Asher Space Research Institute at Technion / Israeli Aircraft Industries,Israel,Haifa
9,National Reconnaissance Office,United States of America,14675 Lee Rd Chantilly
10,US Air Force,United States of America,Washington D.C.
11,Department of Homeland Security,United States of America,Washington D.C.
12,European Space Agency,European Space Station,Paris France
13,Aerospace Corporation,United States of America,El Segundo California
14,EUTELSAT S.A.,Multinational,Paris
15,Aurora Insight,United States of America,3001 Brighton Boulevard
16,Hampton University,United States of America,100 E Queen St Hampton
17,Norwegian Coastal Admnistration,Norway,Unknown
18,AISTech,Spain,Barcelona
19,Al Yah Satellite Communications Co.,United Arab Emirates,Abu Dhabi
20,Algerian Space Agency,Algeria,Bouzareah
21,Astro Live Experiences,Japan,Unknown
22,University of Brasilia,Brazil,UnB - Brasilia DF 70910-900
23,Al-Farabi Kazakh National University,Kazakhstan,Al-Farabi Avenue 71 Almaty 050040
24,SES S.A.,Luxembourg,Betzdorf
25,Moscow State University,Russia,Ulitsa Kolmogorova 1 Moscow
26,Space-Communication Ltd.,Israel,Ramat Gan
27,AMSAT-NA,United States of America,Unknown
28,Agency for Defense Development,South Korea,Yuseong District Daejeon
29,ANDESITE - Boston University,United States of America,Boston MA 02215
30,Centre National d'Etudes Spatiales,France,2 place Maurice-Quentin Paris
31,TelEuropean Space Agencyt Canada Ltd.,Canada,Ottawa Ontario
32,Aprize Satellite Argentina,United States of America,3554 Chain Bridge Rd Ste 400 Fairfax Virginia 22030
33,Cambridge Ontario,Canada,Cambridge Ontario
34,APT Satellite Holdings Ltd.,China,Hong Kong
35,Arab Satellite Communications Org.,Multinational,Riyadh Saudi Arabia
36,University of South Florida Institute of Applied Engineering,United States of America,12351 University Mall Ct Tampa FL 33612
37,Norwegian Defence Research Establishment,Norway,Kjeller
38,Aoyama Gakuin University,Japan,4 Chome-4-25 Shibuya Shibuya City Tokyo 150-8366
39,Naval Physical and Oceanographic Laboratory,India,P.B.No.6 NGO Quarters Thrikkakara Vazhakkala Kochi Kerala 682021
40,Planetary Resources,United States of America,Redmond Washington
41,Satellite Design Laboratory UT Austin / Baylor University,United States of America,Austin TX 78712
42,ArSat,Argentina,BGR Av. Gral. Juan Domingo Perón 7934 de Buenos Aires B1621
43,Aerospacelab,Belgium,Rue André Dumont 9 1435 Mont-Saint-Guibert
44,Istanbul Technical  University,Turkey,Maslak 34467 Istanbul
45,Asia Satellite Telecommunications Co. Ltd.,China,Hong Kong
46,1Worldspace,United States of America,Maryland
47,Japan Space Systems,Japan,3 Chome-5-8 Shibakoen Minato City Tokyo 105-0011
48,Chiba Institute of Technology,Japan,2 Chome-17-1 Tsudanuma Narashino Chiba 275-0016
49,Astranis,United States of America,San Francisco California
50,Astrocast,Switzerland,Renens Vaud
51,Telemetry Tracking and Command Network Centre,India,Bangalore Karnataka State
52,DirecTV Inc.,United States of America,El Segundo California
53,PointView Tech,United States of America,Redwood City California
54,Microspace Rapid Pvt Ltd.,Singapore,196 Pandan Loop
55,Azercosmos,Azerbaijan,Baku Baki
