2019-089H,In Orbit,Low Earth Orbit,96,579.2,570.2,37
2017-036L,In Orbit,Low Earth Orbit,94.2,496,478.6,97.2
2016-025E,In Orbit,Low Earth Orbit,94.2,561,415.9,98.2
2014-006A,In Orbit,Geostationary Orbit,1436.1,35806.9,35789.1,0
2016-038A,In Orbit,Geostationary Orbit,1436.1,35800,35784.8,0
2015-010A,In Orbit,Geostationary Orbit,1436.1,35804.2,35780.7,0
2004-007A,In Orbit,Geostationary Orbit,1436.1,35817.5,35771.1,2.8
1999-053A,In Orbit,Geostationary Orbit,1436,35802.1,35782.8,0
2021-022F,In Orbit,Low Earth Orbit,95.5,561,538,97.5
2021-022H,In Orbit,Low Earth Orbit,95.5,599,539,97.5
2021-022M,In Orbit,Low Earth Orbit,95.5,561,537,97.5
2020-095A,In Orbit,Geostationary Orbit,1437.6,35800,35 700,0
1998-029A,In Orbit,Geostationary Orbit,1436.14,36013,35560,7.72
2003-041A,In Orbit,Geostationary Orbit,1436.1,35984,35589,3.2
2009-001A,In Orbit,Geostationary Orbit,1438.8,35937,35714,2.89
2010-063A,In Orbit,Geostationary Orbit,1436,35500,35500,0
2012-034A,In Orbit,Geostationary Orbit,1436.1,35805,35771,0
2016-036A,In Orbit,Geostationary Orbit,1437.19,35903,35613,7.51
2012-019A,In Orbit,Geostationary Orbit,1436.1,35801,35772,2.34
2013-050A,In Orbit,Geostationary Orbit,1436.1,35803,35700,4.2
2018-079A,In Orbit,Geostationary Orbit,1436.1,35790,35781,0.05
2019-051A,In Orbit,Geostationary Orbit,1436.2,35810,35780,6.4
2020-022B,In Orbit,Geostationary Orbit,1436,35780,35780,0
2012-048C,Inactive,NULL,NULL,NULL,NULL,NULL
2018-066A,In Orbit,Low Earth Orbit,92.4,317,314,96.7
2019-022D,In Orbit,Low Earth Orbit,94.15,481,469,51.6
2019-022C,In Orbit,Low Earth Orbit,94.15,483,471,51.6
2018-104N,In Orbit,Low Earth Orbit,94.6,511,495,85.03
2018-104A,In Orbit,Low Earth Orbit,94.6,511,492,85.3
2018-046C,In Orbit,Low Earth Orbit,94.2,487,481,51.6
2018-046D,In Orbit,Low Earth Orbit,94.2,487,481,51.6
2019-071D,In Orbit,Low Earth Orbit,93.9,474,459,51.6
2019-071F,In Orbit,Low Earth Orbit,93.9,474,459,51.6
2019-071G,In Orbit,Low Earth Orbit,93.9,474,458,51.6
2015-058B,In Orbit,Low Earth Orbit,97.74,802,500,64.78
2014-033AM,In Orbit,Low Earth Orbit,97.88,700,614,97.98
